Date,"Natural gas, Europe",value,conversion,price_eur/mwh
1999-02-28,2.01,1.120765,0.29307107,6.119395847137875
1999-03-31,1.95,1.088295652173913,0.29307107,6.113849830437638
1999-04-30,1.87,1.070440909090909,0.29307107,5.960819325485027
1999-05-31,1.89,1.062809523809524,0.29307107,6.067830167051917
1999-06-30,1.91,1.0377545454545454,0.29307107,6.280088631410994
1999-07-31,2.0,1.035268181818182,0.29307107,6.591802385234186
1999-08-31,2.08,1.0603545454545455,0.29307107,6.69328445990147
1999-09-30,2.2,1.0500772727272727,0.29307107,7.148723043777769
1999-10-31,2.47,1.070633333333333,0.29307107,7.871966598068464
1999-11-30,2.51,1.0338227272727272,0.29307107,8.284278608168643
1999-12-31,2.66,1.0110136363636364,0.29307107,8.977422680567548
2000-01-31,3.36,1.0136952380952382,0.29307107,11.30990406504208
2000-02-29,3.46,0.9834238095238096,0.29307107,12.00500734599573
2000-03-31,3.51,0.9643434782608696,0.29307107,12.419451584736322
2000-04-30,3.68,0.94695,0.29307107,13.260131176186407
2000-05-31,3.55,0.9059681818181818,0.29307107,13.370340203794694
2000-06-30,3.6,0.9491772727272728,0.29307107,12.941428581811978
2000-07-31,3.96,0.9396571428571427,0.29307107,14.379799033977266
2000-08-31,4.01,0.9040565217391304,0.29307107,15.134770479352655
2000-09-30,4.03,0.8721142857142856,0.29307107,15.767349549060423
2000-10-31,4.31,0.8551590909090909,0.29307107,17.197186586404346
2000-11-30,4.39,0.8563863636363636,0.29307107,17.491289462655047
2000-12-31,4.44,0.8973157894736842,0.29307107,16.883586623252175
2001-01-31,4.65,0.938281818181818,0.29307107,16.91012049462333
2001-02-28,4.59,0.921705,0.29307107,16.99212883217604
2001-03-31,4.57,0.9095227272727272,0.29307107,17.144692270985256
2001-04-30,4.48,0.892,0.29307107,17.137213593493474
2001-05-31,4.36,0.8741636363636364,0.29307107,17.01848133498849
2001-06-30,4.33,0.8531666666666666,0.29307107,17.31733535470938
2001-07-31,3.75,0.8606636363636363,0.29307107,14.867052110869981
2001-08-31,3.79,0.9004826086956521,0.29307107,14.361206615512948
2001-09-30,3.79,0.911095,0.29307107,14.193927962676073
2001-10-31,3.52,0.9058652173913044,0.29307107,13.258858299313832
2001-11-30,3.46,0.8883090909090909,0.29307107,13.290430299973888
2001-12-31,3.4,0.8923722222222222,0.29307107,13.000496060447137
2002-01-31,3.06,0.8832863636363637,0.29307107,11.820802214722839
2002-02-28,3.03,0.870035,0.29307107,11.883187635501121
2002-03-31,2.97,0.8757999999999999,0.29307107,11.57120422053578
2002-04-30,2.81,0.885842857142857,0.29307107,10.823723324528311
2002-05-31,2.83,0.917,0.29307107,10.5303825817084
2002-06-30,2.9,0.95544,0.29307107,10.35670554078322
2002-07-31,2.95,0.992182608695652,0.29307107,10.145126245334364
2002-08-31,3.01,0.9777590909090907,0.29307107,10.504168580218789
2002-09-30,3.08,0.980795238095238,0.29307107,10.715178691751948
2002-10-31,3.28,0.981108695652174,0.29307107,11.407323788723458
2002-11-30,3.34,1.001361904761905,0.29307107,11.381053150862819
2002-12-31,3.36,1.018255,0.29307107,11.25925813676057
2003-01-31,3.61,1.0621863636363635,0.29307107,11.59667618087345
2003-02-28,3.67,1.077295,0.29307107,11.624076785781414
2003-03-31,3.74,1.080652380952381,0.29307107,11.808986812346676
2003-04-30,4.03,1.08476,0.29307107,12.67647294294249
2003-05-31,4.04,1.1581809523809523,0.29307107,11.902330268511793
2003-06-30,4.05,1.1662809523809523,0.29307107,11.848923361114004
2003-07-31,4.04,1.1371826086956522,0.29307107,12.122109589548746
2003-08-31,3.98,1.1138666666666668,0.29307107,12.192055040546121
2003-09-30,3.97,1.122172727272727,0.29307107,12.071405731273053
2003-10-31,3.88,1.169191304347826,0.29307107,11.323304830513685
2003-11-30,3.9,1.170195,0.29307107,11.371910132088237
2003-12-31,3.97,1.2285619047619047,0.29307107,11.026064082707794
2004-01-31,3.87,1.2613190476190477,0.29307107,10.469189498796236
2004-02-29,3.89,1.264645,0.29307107,10.495618106794922
2004-03-31,3.86,1.2261652173913042,0.29307107,10.741510625815177
2004-04-30,3.92,1.19854,0.29307107,11.1599072285628
2004-05-31,3.95,1.2007238095238095,0.29307107,11.224862330431193
2004-06-30,4.01,1.2138318181818182,0.29307107,11.272309517622253
2004-07-31,4.28,1.2265863636363636,0.29307107,11.906186658617614
2004-08-31,4.34,1.2175954545454546,0.29307107,12.162245383879034
2004-09-30,4.41,1.2217818181818183,0.29307107,12.316065263869868
2004-10-31,4.83,1.2489666666666668,0.29307107,13.195423494909996
2004-11-30,4.96,1.2991363636363635,0.29307107,13.027287191691027
2004-12-31,5.01,1.3407608695652171,0.29307107,12.750095844876672
2005-01-31,5.46,1.311928571428571,0.29307107,14.20069181627769
2005-02-28,5.49,1.301425,0.29307107,14.39395860451473
2005-03-31,5.52,1.3200666666666667,0.29307107,14.268235310793326
2005-04-30,5.86,1.2937904761904762,0.29307107,15.454704876754766
2005-05-31,5.89,1.2693954545454549,0.29307107,15.832350871407783
2005-06-30,5.91,1.216490909090909,0.29307107,16.576989530243566
2005-07-31,6.42,1.2037190476190476,0.29307107,18.198556665597543
2005-08-31,6.56,1.2292434782608697,0.29307107,18.20928849518185
2005-09-30,6.58,1.225640909090909,0.29307107,18.31849099735812
2005-10-31,7.28,1.201452380952381,0.29307107,20.675302240508298
2005-11-30,7.46,1.178572727272727,0.29307107,21.5977987688514
2005-12-31,7.49,1.185609523809524,0.29307107,21.555951039452538
2006-01-31,7.96,1.2103136363636364,0.29307107,22.44099925806249
2006-02-28,7.95,1.193835,0.29307107,22.722173499108294
2006-03-31,7.99,1.202,0.29307107,22.68137409709923
2006-04-30,8.24,1.2271166666666666,0.29307107,22.91228522701988
2006-05-31,8.28,1.2769590909090909,0.29307107,22.12485344286821
2006-06-30,8.29,1.2649954545454545,0.29307107,22.36107177588027
2006-07-31,8.58,1.2683666666666666,0.29307107,23.0817917238247
2006-08-31,8.71,1.281130434782609,0.29307107,23.198070106774214
2006-09-30,8.77,1.2727428571428572,0.29307107,23.511805210436343
2006-10-31,8.97,1.261104545454545,0.29307107,24.26992320142016
2006-11-30,8.99,1.2881409090909093,0.29307107,23.81350757775016
2006-12-31,8.92,1.321278947368421,0.29307107,23.035486523119694
2007-01-31,8.59,1.2998636363636364,0.29307107,22.54874728843755
2007-02-28,8.56,1.30742,0.29307107,22.34012971863604
2007-03-31,8.37,1.3241863636363638,0.29307107,21.56767828935794
2007-04-30,8.0,1.3516157894736842,0.29307107,20.195926456063404
2007-05-31,7.98,1.3511318181818182,0.29307107,20.15265267381767
2007-06-30,8.03,1.3418571428571429,0.29307107,20.419086693370613
2007-07-31,8.13,1.371559090909091,0.29307107,20.225677243876476
2007-08-31,8.34,1.3622478260869564,0.29307107,20.88992963839264
2007-09-30,8.54,1.389645,0.29307107,20.969160874925944
2007-10-31,9.16,1.4227478260869564,0.29307107,21.968206033940337
2007-11-30,9.47,1.4683636363636363,0.29307107,22.006116526239012
2007-12-31,9.49,1.4570368421052633,0.29307107,22.22402562630157
2008-01-31,10.7,1.471790909090909,0.29307107,24.806455367002663
2008-02-29,10.84,1.4748380952380953,0.29307107,25.07910220400926
2008-03-31,11.04,1.5526526315789473,0.29307107,24.26173304041687
2008-04-30,12.19,1.57505,0.29307107,26.408054685420897
2008-05-31,12.38,1.5557,0.29307107,27.15325155425048
2008-06-30,12.63,1.5552761904761905,0.29307107,27.709129166656837
2008-07-31,14.37,1.5769695652173912,0.29307107,31.092848193365725
2008-08-31,14.64,1.4975380952380952,0.29307107,33.35725060830992
2008-09-30,14.85,1.43695,0.29307107,35.26239833099702
2008-10-31,15.93,1.332208695652174,0.29307107,40.80097692280905
2008-11-30,15.81,1.273215,0.29307107,42.369874099389286
2008-12-31,15.5,1.3449428571428572,0.29307107,39.32374900812979
2009-01-31,13.89,1.3238666666666667,0.29307107,35.8001666673369
2009-02-28,11.04,1.27847,0.29307107,29.46494141580886
2009-03-31,10.9,1.304981818181818,0.29307107,28.500277402155085
2009-04-30,8.51,1.31903,0.29307107,22.014150788823965
2009-05-31,8.09,1.3650449999999998,0.29307107,20.222209398390955
2009-06-30,7.95,1.4016454545454544,0.29307107,19.35334353729626
2009-07-31,6.67,1.4087695652173913,0.29307107,16.155221739778007
2009-08-31,6.92,1.4268,0.29307107,16.548934759686627
2009-09-30,7.13,1.4561636363636363,0.29307107,16.707304901015565
2009-10-31,7.6,1.4816363636363634,0.29307107,17.502456785932335
2009-11-30,7.81,1.491447619047619,0.29307107,17.867758699702932
2009-12-31,8.01,1.461359090909091,0.29307107,18.702627346994877
2010-01-31,8.8,1.42721,0.29307107,21.03884248931206
2010-02-28,8.8,1.36857,0.29307107,21.94030732017439
2010-03-31,8.93,1.3568521739130437,0.29307107,22.456701907227156
2010-04-30,7.52,1.34057,0.29307107,19.140593252273828
2010-05-31,7.27,1.2565333333333333,0.29307107,19.741831775852177
2010-06-30,7.74,1.22085,0.29307107,21.632449732506046
2010-07-31,8.04,1.277,0.29307107,21.482865110783028
2010-08-31,8.45,1.2894181818181818,0.29307107,22.360935516062167
2010-09-30,8.28,1.3067,0.29307107,21.62128471638621
2010-10-31,8.29,1.3897809523809523,0.29307107,20.353318346170244
2010-11-30,8.59,1.366095454545455,0.29307107,21.455526074893225
2010-12-31,8.74,1.3220130434782609,0.29307107,22.558111690486868
2011-01-31,9.61,1.3359666666666663,0.29307107,24.54453537785039
2011-02-28,9.36,1.364895,0.29307107,23.399342590342542
2011-03-31,9.37,1.399917391304348,0.29307107,22.838324118116564
2011-04-30,10.36,1.444178947368421,0.29307107,24.47742878705783
2011-05-31,10.3,1.4348636363636365,0.29307107,24.493657760355905
2011-06-30,10.26,1.4388409090909091,0.29307107,24.331093837597745
2011-07-31,10.99,1.4264285714285714,0.29307107,26.289039157815473
2011-08-31,10.81,1.434321739130435,0.29307107,25.716162608084307
2011-09-30,10.85,1.377,0.29307107,26.88579284037318
2011-10-31,11.42,1.3706333333333334,0.29307107,28.429673002665233
2011-11-30,11.32,1.3555727272727274,0.29307107,28.4938185407557
2011-12-31,11.53,1.317904761904762,0.29307107,29.851924198394695
2012-01-31,11.45,1.2904863636363637,0.29307107,30.274649018517387
2012-02-29,11.12,1.3224095238095237,0.29307107,28.692333425863175
2012-03-31,11.97,1.3201,0.29307107,30.93957682943937
2012-04-30,11.42,1.3161736842105265,0.29307107,29.60601472334777
2012-05-31,11.64,1.278890909090909,0.29307107,31.05607237538485
2012-06-30,11.49,1.2526285714285714,0.29307107,31.298589447761653
2012-07-31,11.13,1.2288454545454546,0.29307107,30.904729523598828
2012-08-31,11.18,1.239995652173913,0.29307107,30.764417128325103
2012-09-30,11.08,1.28557,0.29307107,29.408378631482123
2012-10-31,11.58,1.297417391304348,0.29307107,30.45480999381189
2012-11-30,11.83,1.2827727272727272,0.29307107,31.467488110263076
2012-12-31,11.79,1.311936842105263,0.29307107,30.663937917669344
2013-01-31,11.87,1.3288045454545454,0.29307107,30.480119403245272
2013-02-28,11.77,1.335905,0.29307107,30.06269685757318
2013-03-31,11.87,1.29636,0.29307107,31.242958135880162
2013-04-30,12.88,1.3026,0.29307107,33.738971488188255
2013-05-31,12.29,1.2982045454545454,0.29307107,32.302475632684335
2013-06-30,11.92,1.318875,0.29307107,30.83895614882855
2013-07-31,11.6,1.3080130434782609,0.29307107,30.260281550626228
2013-08-31,11.64,1.33095,0.29307107,29.841337866147484
2013-09-30,11.25,1.334790476190476,0.29307107,28.758516096701076
2013-10-31,11.37,1.363495652173913,0.29307107,28.453373011940236
2013-11-30,11.42,1.3492904761904765,0.29307107,28.87936894302875
2013-12-31,11.55,1.37036,0.29307107,28.759038417486664
2014-01-31,11.59,1.361022727272727,0.29307107,29.05662099444708
2014-02-28,11.3,1.36585,0.29307107,28.229454535273828
2014-03-31,10.88,1.382252380952381,0.29307107,26.857686412281026
2014-04-30,10.73,1.38125,0.29307107,26.50662786966726
2014-05-31,10.2,1.3732142857142855,0.29307107,25.344802366554134
2014-06-30,9.77,1.3592380952380954,0.29307107,24.52596339967254
2014-07-31,9.27,1.353917391304348,0.29307107,23.362247328259155
2014-08-31,9.14,1.3316095238095238,0.29307107,23.420510282845772
2014-09-30,9.24,1.2901363636363636,0.29307107,24.437873078598162
2014-10-31,9.77,1.2672739130434785,0.29307107,26.305776069507406
2014-11-30,8.9,1.24722,0.29307107,24.348599727942442
2014-12-31,9.83,1.2331333333333334,0.29307107,27.20010185978115
2015-01-31,9.25,1.1621333333333337,0.29307107,27.15894056188126
2015-02-28,8.27,1.134965,0.29307107,24.86280310190229
2015-03-31,8.27,1.083768181818182,0.29307107,26.037312956733942
2015-04-30,6.77,1.0779299999999998,0.29307107,21.430147476970603
2015-05-31,6.68,1.114955,0.29307107,20.443072700412973
2015-06-30,6.67,1.1213227272727273,0.29307107,20.29655169987667
2015-07-31,6.69,1.0995782608695652,0.29307107,20.759984397097952
2015-08-31,6.35,1.113904761904762,0.29307107,19.451482859310687
2015-09-30,6.28,1.1221181818181818,0.29307107,19.096250123953308
2015-10-31,6.03,1.1235090909090908,0.29307107,18.313348976289944
2015-11-30,5.5,1.0736,0.29307107,17.480233786542392
2015-12-31,5.09,1.0877181818181818,0.29307107,15.967188204757322
2016-01-31,4.4,1.085965,0.29307107,13.824960467957562
2016-02-29,3.97,1.109295238095238,0.29307107,12.211539206404948
2016-03-31,3.91,1.1099666666666668,0.29307107,12.019706711946597
2016-04-30,3.97,1.1339190476190475,0.29307107,11.946357475802193
2016-05-31,4.33,1.1311090909090908,0.29307107,13.062023282167816
2016-06-30,4.76,1.1228909090909092,0.29307107,14.464267233566591
2016-07-31,4.67,1.106852380952381,0.29307107,14.396410677962852
2016-08-31,4.05,1.121173913043478,0.29307107,12.325628933673793
2016-09-30,4.25,1.1212090909090908,0.29307107,12.933896154514306
2016-10-31,5.34,1.102604761904762,0.29307107,16.525265408915814
2016-11-30,5.69,1.0798954545454544,0.29307107,17.978671752145974
2016-12-31,5.42,1.054290476190476,0.29307107,17.541472753548845
2017-01-31,6.14,1.0614409090909092,0.29307107,19.737838875703943
2017-02-28,6.05,1.064265,0.29307107,19.39691420140201
2017-03-31,5.0,1.0684695652173912,0.29307107,15.967425494421263
2017-04-30,5.01,1.0722666666666667,0.29307107,15.94270354888402
2017-05-31,5.06,1.10575,0.29307107,15.614231674224156
2017-06-30,4.89,1.1229454545454545,0.29307107,14.858577973009952
2017-07-31,5.0,1.1511142857142858,0.29307107,14.821037656637996
2017-08-31,5.48,1.1806739130434782,0.29307107,15.837172274204963
2017-09-30,5.96,1.191457142857143,0.29307107,17.068481453412616
2017-10-31,6.18,1.1755863636363637,0.29307107,17.937461642456682
2017-11-30,6.69,1.1738,0.29307107,19.447288753655034
2017-12-31,7.14,1.183621052631579,0.29307107,20.583185150926376
2018-01-31,6.66,1.21995,0.29307107,18.627700553290122
2018-02-28,6.72,1.23478,0.29307107,18.569779060313795
2018-03-31,6.7,1.2336190476190476,0.29307107,18.531935770216307
2018-04-30,6.93,1.22763,0.29307107,19.26161916169547
2018-05-31,7.49,1.1812227272727271,0.29307107,21.636005011649264
2018-06-30,7.45,1.1678285714285714,0.29307107,21.767283147256187
2018-07-31,7.6,1.168572727272727,0.29307107,22.19140993263928
2018-08-31,8.08,1.154895652173913,0.29307107,23.87237700651031
2018-09-30,9.52,1.16587,0.29307107,27.862101577763283
2018-10-31,8.79,1.148404347826087,0.29307107,26.116868182879603
2018-11-30,8.27,1.1366863636363638,0.29307107,24.825151620784165
2018-12-31,7.98,1.138421052631579,0.29307107,23.918119034622144
2019-01-31,7.26,1.141640909090909,0.29307107,21.69872161535648
2019-02-28,6.01,1.135115,0.29307107,18.065985584852445
2019-03-31,5.18,1.130247619047619,0.29307107,15.638072022556202
2019-04-30,4.92,1.123825,0.29307107,14.938034698333576
2019-05-31,4.34,1.118459090909091,0.29307107,13.240264947411658
2019-06-30,3.59,1.12934,0.29307107,10.84667900732086
2019-07-31,3.62,1.1218391304347826,0.29307107,11.01044916698046
2019-08-31,3.68,1.1126227272727272,0.29307107,11.285659468837915
2019-09-30,4.21,1.100390476190476,0.29307107,13.054562534603097
2019-10-31,5.06,1.1052565217391304,0.29307107,15.621203163412284
2019-11-30,5.15,1.105095238095238,0.29307107,15.901371044927917
2019-12-31,4.62,1.111345,0.29307107,14.184699039735463
2020-01-31,3.63,1.1100363636363637,0.29307107,11.158259802370413
2020-02-29,2.91,1.0905,0.29307107,9.105302300080009
2020-03-31,2.72,1.106340909090909,0.29307107,8.38893795872402
2020-04-30,2.12,1.08619,0.29307107,6.6597374920429395
2020-05-31,1.58,1.090185,0.29307107,4.945200845278793
2020-06-30,1.75,1.125459090909091,0.29307107,5.305610758947799
2020-07-31,1.8,1.1463391304347823,0.29307107,5.357799258680161
2020-08-31,2.86,1.1828095238095238,0.29307107,8.250462039779883
2020-09-30,3.95,1.179240909090909,0.29307107,11.429352013547401
2020-10-31,4.89,1.177518181818182,0.29307107,14.16994901092499
2020-11-30,4.84,1.1837904761904765,0.29307107,13.950750446303468
2020-12-31,5.86,1.216972727272727,0.29307107,16.43023671260864
2021-01-31,7.27,1.217085,0.29307107,20.381706854835496
2021-02-28,6.16,1.20979,0.29307107,17.3739181778819
2021-03-31,6.13,1.1899086956521738,0.29307107,17.578179149200793
2021-04-30,7.15,1.19791,0.29307107,20.366148284262998
2021-05-31,8.91,1.2145904761904762,0.29307107,25.03080879111712
2021-06-30,10.3,1.204709090909091,0.29307107,29.17306684832079
2021-07-31,12.51,1.1821818181818182,0.29307107,36.107721501896535
2021-08-31,15.43,1.177181818181818,0.29307107,44.72490537733701
2021-09-30,22.84,1.1770318181818182,0.29307107,66.21173169882901
2021-10-31,31.05,1.160147619047619,0.29307107,91.3219973315597
2021-11-30,27.62,1.1414045454545454,0.29307107,82.56787861734395
2021-12-31,38.03,1.1303782608695652,0.29307107,114.79674625402616
2022-01-31,28.26,1.131447619047619,0.29307107,85.22455744794175
2022-02-28,27.23,1.13419,0.29307107,81.91979890906607
2022-03-31,42.39,1.101895652173913,0.29307107,131.2653186605571
2022-04-30,32.2,1.0818736842105263,0.29307107,101.55618188592966
2022-05-31,29.17,1.05785,0.29307107,94.0891161287818
2022-06-30,33.56,1.0565818181818185,0.29307107,108.37918209885444
2022-07-31,51.33,1.017890476190476,0.29307107,172.066871857249
2022-08-31,70.04,1.0128434782608695,0.29307107,235.95590558086894
2022-09-30,59.1,0.9903772727272728,0.29307107,203.61692073268793
2022-10-31,39.02,0.9825666666666668,0.29307107,135.5040539433042
2022-11-30,35.72,1.0201272727272723,0.29307107,119.47695396977994
2022-12-31,36.04,1.0588809523809524,0.29307107,116.13542037344531
2023-01-31,20.18,1.0769,0.29307107,63.940029897841455
2023-02-28,16.54,1.07151,0.29307107,52.6703648543654
2023-03-31,13.81,1.0705826086956522,0.29307107,44.01498361588241
2023-04-30,13.52,1.0967722222222225,0.29307107,42.06174625167715
2023-05-31,10.11,1.08675,0.29307107,31.743042954861178
2023-06-30,10.35,1.0839863636363636,0.29307107,32.579437443434855
2023-07-31,9.55,1.105814285714286,0.29307107,29.467834731826066
2023-08-31,11.19,1.0908869565217392,0.29307107,35.000752982582966
2023-09-30,11.55,1.0683809523809524,0.29307107,36.88781215909821
2023-10-31,14.57,1.0562545454545456,0.29307107,47.06716182934365
2023-11-30,14.49,1.080822727272727,0.29307107,45.74471931936202
2023-12-31,11.51,1.0903052631578949,0.29307107,36.02087557261859
2024-01-31,9.56,1.0905136363636363,0.29307107,29.91257783868271
2024-02-29,8.15,1.0794714285714286,0.29307107,25.76163999369294
2024-03-31,8.55,1.08722,0.29307107,26.833401685388235
2024-04-30,9.09,1.0727761904761903,0.29307107,28.91224445388924
2024-05-31,10.12,1.0812227272727273,0.29307107,31.936873390228563
2024-06-30,10.87,1.0759,0.29307107,34.47344509145508
2024-07-31,10.35,1.084408695652174,0.29307107,32.56674910965016
2024-08-31,12.37,1.101218181818182,0.29307107,38.32863707072807
2024-09-30,11.78,1.1106,0.29307107,36.1921740157281
2024-10-31,12.92,1.0904347826086955,0.29307107,40.428708464758564
2024-11-30,13.93,1.0630142857142857,0.29307107,44.71354112185379
2024-12-31,13.86,1.047875,0.29307107,45.13160736055772
2025-01-31,14.66,1.0353727272727271,0.29307107,48.31303264362943
2025-02-28,15.34,1.04125,0.29307107,50.26867004364118
2025-03-31,13.24,1.0806809523809524,0.29307107,41.80397105142702
2025-04-30,11.59,1.121395,0.29307107,35.26564818925744
2025-05-31,11.66,1.127804761904762,0.29307107,35.27700255357795
2025-06-30,12.37,1.1516190476190478,0.29307107,36.65117567641907
2025-07-31,11.62,1.1676869565217392,0.29307107,33.95523567236848
2025-08-31,11.15,1.1631428571428573,0.29307107,32.70911994867803
2025-09-30,11.12,1.1732227272727274,0.29307107,32.340845519488106
2025-10-31,10.89,1.1630434782608696,0.29307107,31.949125807543233
